TCCON,OCO2,Time
389.95,415.72134,844
390.33,412.38116,845
390.09,415.04193,846
390.4,416.59933,847
389.3,413.64554,848
389.69,412.88538,849
390.43,413.53452,850
390.58,414.73615,851
389.61,416.65942,852
389.03,418.70984,853
389.79,413.13992,854
390.35,413.8743,855
389.46,415.16357,856
390.48,415.1753,857
389.58,416.0694,858
391.24,415.0314,859
391.24,415.57993,860
390.8,413.69354,861
391.12,412.90454,862
391.6,413.30493,863
391.61,414.44452,864
390.86,415.56885,865
390.38,415.65085,866
392.31,415.13776,867
392.09,414.8171,868
390.93,415.3775,869
391.64,415.4045,870
391.49,416.4477,871
392.18,414.91293,872
391.18,413.98547,873
390.6,415.88278,874
391.37,415.68387,875
392.29,415.5291,876
391.37,414.90845,877
391.69,415.8796,878
391.28,415.3882,879
392.27,415.3699,880
392.21,415.99728,881
391.59,415.80496,882
390.41,414.9945,883
391.24,415.2804,884
391.94,415.14938,885
391.05,415.33862,886
391.13,416.12454,887
390.82,415.20114,888
391.24,415.32428,889
391.73,415.79626,890
390.61,415.85254,891
391.45,415.76428,892
391.36,413.5447,893
391.06,415.22165,894
391.12,416.01373,895
390.45,415.8801,896
391.69,415.17203,897
390.13,415.56174,898
390.1,416.1391,899
391.41,415.4387,900
390.49,415.27692,901
390.89,415.6461,902
391.86,415.6468,903
391.34,415.37964,904
391.54,415.74036,905
392.68,415.47778,906
390.52,416.51483,907
390.65,414.5773,908
390.67,415.17743,909
391.22,415.48447,910
391.68,415.503,911
391.21,415.22183,912
390.55,416.3086,913
390.93,414.65054,914
390.78,416.072,915
391.47,415.52628,916
390.66,415.68332,917
391.68,416.19894,918
391.76,415.5554,919
391.1,415.53476,920
391.48,415.79727,921
391.46,416.09875,922
391.74,414.6883,923
391.37,415.68283,924
391.4,415.1694,925
391,415.5329,926
391.41,415.5559,927
391.77,415.6294,928
392.17,415.73343,929
391.18,415.6386,930
391.16,415.6272,931
390.89,415.73767,932
392,415.65033,933
392.44,415.80515,934
391.31,416.12402,935
391.14,416.12564,936
389.91,416.00955,937
392.25,415.69147,938
390.72,415.78638,939
391.19,415.82224,940
391.21,415.64035,941
391.6,415.8677,942
390.61,415.54697,943
390.72,415.7439,944
391.76,415.78036,945
391.04,415.79227,946
391.55,415.7757,947
390.75,415.4979,948
392.92,415.76596,949
391.02,415.92108,950
389.92,415.81717,951
391.04,415.68472,952
391.63,415.9194,953
392.28,415.43213,954
392.16,415.36102,955
392.54,415.4371,956
390.89,415.4515,957
391.19,415.1987,958
390.88,415.71942,959
390.67,415.7324,960
391.13,415.9284,961
391.34,415.7556,962
389.65,415.4419,963
391.68,415.30475,964
391.64,415.64624,965
391.96,414.96555,966
390.87,415.2821,967
391.98,415.70343,968
390.38,415.56708,969
391.29,415.54672,970
391.72,415.9063,971
390.99,415.65433,972
390.53,415.79898,973
391.66,415.43918,974
390.67,415.6283,975
391.52,415.31265,976
390.9,416.20825,977
390.62,415.38794,978
392.23,415.5445,979
391.16,415.775,980
391.07,415.4588,981
392.62,415.51807,982
391.72,415.49844,983
391.48,415.43356,984
391.58,416.1851,985
391.06,415.81488,986
391.16,415.60132,987
391.71,415.52283,988
388.74,415.3737,989
390.35,415.88162,990
391.84,415.58984,991
391.21,415.2958,992
388.98,415.62204,993
393.38,415.82974,994
390.64,415.62546,995
391.09,415.91302,996
391.43,415.783,997
390.34,415.503,998
392.1,415.6306,999
391.19,415.9133,1000
390.95,415.4979,1001
390.83,415.8949,1002
390.38,415.80444,1003
390.29,415.5711,1004
392.15,415.9974,1005
390.81,415.53894,1006
391.01,415.44876,1007
389.76,415.98444,1008
392.4,415.4753,1009
390.75,415.2537,1010
391.15,415.65338,1011
391.48,415.87933,1012
391.15,415.5651,1013
390.06,415.57745,1014
390.82,416.2246,1015
390.52,415.6328,1016
390.81,416.1387,1017
389.95,415.79337,1018
391.52,415.26654,1019
389.99,414.9882,1020
390.47,415.79453,1021
390.15,415.1777,1022
389.92,415.80695,1023
390.74,415.2923,1024
390.45,415.7885,1025
390.79,415.7366,1026
389.36,415.46405,1027
390.58,415.32623,1028
390.33,415.87366,1029
391.16,415.3289,1030
389.72,415.95877,1031
390.45,415.1288,1032
389.31,415.50516,1033
389.84,415.46713,1034
389.06,415.58228,1035
389.84,415.3202,1036
390.18,415.80777,1037
389.98,415.61475,1038
388.91,415.30286,1039
387.77,415.56882,1040
388.27,415.48343,1041
386.4,415.63815,1042
386.62,415.62717,1043
386,415.88614,1044
386.52,415.4689,1045
387.34,415.1926,1046
385.86,415.41724,1047
386.76,415.75095,1048
386.4,415.75174,1049
385.88,415.84586,1050
385.53,415.79575,1051
386.07,415.71362,1052
386.46,415.80338,1053
386.11,415.7465,1054
386.12,415.7211,1055
385.74,415.24103,1056
386.8,415.53745,1057
386.66,415.21228,1058
386.5,415.51184,1059
386.56,415.06006,1060
386.38,416.17215,1061
385.78,415.5639,1062
386.7,415.35336,1063
386.01,415.331,1064
387.49,415.48175,1065
385.72,415.85983,1066
387.01,414.98874,1067
386.04,415.93976,1068
386.39,415.5148,1069
386.33,414.97614,1070
386.01,415.59348,1071
385.51,416.59573,1072
386.92,415.8679,1073
386.44,415.91046,1074
385.74,415.28958,1075
386.3,415.83127,1076
386.13,415.11276,1077
384.06,415.73343,1078
386.58,415.22574,1079
386.2,415.68484,1080
385.84,416.0913,1081
386.33,415.49792,1082
385.42,415.90146,1083
386.5,415.83542,1084
386.15,415.39218,1085
386.76,415.33075,1086
387.23,415.57236,1087
386.14,415.74136,1088
385.91,415.8587,1089
386.09,415.90344,1090
385.4,415.97318,1091
386.68,415.58316,1092
387.44,415.35498,1093
385.97,415.8774,1094
385.2,415.2178,1095
386.46,415.61783,1096
385.72,415.8078,1097
385.12,415.71567,1098
385.84,416.09637,1099
385.34,415.67706,1100
386.12,415.3413,1101
386.34,415.9127,1102
386.58,415.84695,1103
385.76,416.05344,1104
385.55,415.76535,1105
386.14,416.19412,1106
385.79,415.87375,1107
386.63,415.88217,1108
385.54,416.43408,1109
385.46,415.64658,1110
386.12,416.19186,1111
385.22,415.23807,1112
386.41,415.83255,1113
385.18,415.94763,1114
385.75,415.4042,1115
385.12,415.5771,1116
386.23,415.93848,1117
386.37,415.7797,1118
386.28,416.13803,1119
385.59,416.3428,1120
384.65,415.43845,1121
386.05,415.51318,1122
385.72,415.86438,1123
385.02,416.0169,1124
387.14,415.8186,1125
385.11,415.57742,1126
385.45,415.95926,1127
387.05,415.3899,1128
387.23,415.8183,1129
388.12,415.28662,1130
386.9,415.8096,1131
386.75,417.22656,1132
387.37,415.3373,1133
387.81,415.95236,1134
387.3,416.02155,1135
387.59,415.8228,1136
386.79,416.00577,1137
386.93,416.30383,1138
387.53,415.96628,1139
387.32,416.67386,1140
387.06,415.67093,1141
387.28,415.8383,1142
387.1,415.83484,1143
388.11,416.05276,1144
387.23,416.086,1145
385.98,416.05994,1146
386.91,415.89566,1147
386.41,416.00952,1148
387.36,415.43384,1149
386.76,416.26587,1150
386.57,415.92386,1151
387.34,415.7533,1152
387.64,415.91104,1153
387.72,415.56024,1154
386.35,416.1932,1155
386.25,416.21152,1156
386.84,415.638,1157
387.62,415.7434,1158
386.74,415.54803,1159
387.17,415.8899,1160
387.42,416.0966,1161
387.54,415.4857,1162
386.65,415.8044,1163
386.66,416.46045,1164
386.86,415.98422,1165
387.28,415.75427,1166
387.21,415.80405,1167
386.69,415.25858,1168
387.12,416.36533,1169
387.59,415.71698,1170
388.45,415.43207,1171
387.61,416.07294,1172
387.1,416.0338,1173
387.23,415.7819,1174
387.88,416.34335,1175
386.93,415.79337,1176
387.5,416.28378,1177
388.44,416.0864,1178
386.78,415.76968,1179
387.26,415.6253,1180
387.05,415.961,1181
386.2,415.74557,1182
387.92,416.06058,1183
386.55,416.2504,1184
386.52,415.4149,1185
387.78,415.886,1186
387.47,415.97592,1187
386.91,415.6192,1188
386.53,416.0864,1189
388.02,415.76398,1190
387.09,416.152,1191
386.58,416.03616,1192
387,415.26376,1193
386.6,415.6618,1194
387.74,415.92465,1195
386.12,416.4702,1196
387.11,415.5251,1197
387.29,415.8246,1198
387.19,416.00412,1199
387.47,415.86023,1200
386.96,415.81934,1201
387.38,416.16678,1202
386.03,416.2624,1203
386.71,416.15976,1204
386.2,415.96332,1205
387.84,415.7255,1206
387.71,415.87497,1207
386.62,415.5204,1208
387.21,415.97107,1209
387.09,415.52618,1210
385.12,416.541,1211
387.38,415.61862,1212
387.92,416.34995,1213
388.35,415.85843,1214
387.14,416.2408,1215
386.78,415.8058,1216
387.9,415.98227,1217
388.01,416.0567,1218
388.51,416.02716,1219
388.28,415.61472,1220
386.16,415.858,1221
386.31,415.77988,1222
386.48,416.12326,1223
386.13,415.13916,1224
387.35,415.98734,1225
386.97,415.55695,1226
387,415.98178,1227
385.91,415.35495,1228
386.55,415.8224,1229
386.78,416.06296,1230
387.07,416.61658,1231
386.83,415.4282,1232
387.01,416.64334,1233
385.9,416.615,1234
387.06,415.72397,1235
386.52,415.66714,1236
387.08,415.42905,1237
386.94,415.0624,1238
386.99,416.13675,1239
387.04,415.3858,1240
387.02,415.7621,1241
386.4,416.22702,1242
386.54,415.92163,1243
387.34,415.98062,1244
